boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,num_ratings,complexity,wishlisted,total_plays,fans,amazon_price,comments,avg_rating
Century: Golem Edition  Eastern Mountains,2019,2,4,30,45,10,1959,2.14,673,4554,110,30.99,381,7.324
Century: Spice Road,2017,2,5,30,45,8,26963,1.8,4577,128258,1040,39.99,4080,7.296
Cerebria: The Inside World,2018,1,4,60,120,14,2869,4.34,1602,5687,704,44.99,728,7.716
Challengers!,2022,1,8,45,45,8,7179,1.8,1880,63982,466,36.98,1048,7.082
Champions of Midgard,2015,2,4,60,90,10,18357,2.62,5310,44863,1053,49.99,3201,7.71
Charterstone,2017,1,6,45,75,14,15121,2.85,4919,93446,1185,80,2928,7.186
Chess,1475,2,2,3,1200,6,39018,3.65,466,285209,1412,17.19,8058,7.23
Chronicles of Avel,2021,1,4,60,60,8,2677,1.96,1759,10717,455,38.49,524,7.524
Chronicles of Crime,2018,1,4,60,90,12,24099,2.06,4873,54085,1849,25,4187,7.55
Chronicles of Crime: 1400,2020,1,4,60,90,12,4233,1.99,1068,8808,375,27,833,7.692
Churchill,2015,1,3,60,300,14,3334,3.39,1728,6446,350,85.77,871,7.674
Circadians: Chaos Order,2022,2,5,120,240,12,1124,3.84,830,2483,224,43,276,7.929
Circadians: First Light,2019,1,4,60,90,12,3414,3.4,1493,10619,296,66.81,778,7.533
Citadels,2016,2,8,30,60,10,16142,2.06,3212,32059,836,32.99,2220,7.241
Citadels,2000,2,8,20,60,10,56308,2.05,3640,127489,2019,32.99,10795,7.056
Cities,2024,2,4,45,45,14,3381,1.92,1535,16872,383,28.41,514,7.381
Civilization,1980,2,7,360,360,12,7630,3.64,1048,5653,439,130,2419,7.493
Civilization: A New Dawn,2017,2,4,60,120,14,7452,3.19,2432,15909,521,54.99,1369,7.247
Civolution,2024,1,4,90,180,14,3977,4.21,4291,16156,1053,94.98,787,8.193
Clank! In! Space!: A Deck-Building Adventure,2017,2,4,45,90,12,15557,2.58,3642,47035,721,93.94,2168,7.769
Clank! Legacy: Acquisitions Incorporated,2019,2,4,90,120,13,10679,2.74,6536,62938,1079,100,1645,8.511
Clank!: Catacombs,2022,2,4,45,90,13,10545,2.5,5632,40883,1259,66,1449,8.25
Clash of Cultures: Monumental Edition,2021,2,4,180,240,14,4677,3.72,2388,11712,673,145.38,688,8.284
Clever 4Ever,2022,1,4,30,30,14,1947,2.37,461,20152,98,27.99,310,7.649
Clever Cubed,2020,1,4,30,30,14,3623,2.39,603,39537,122,24.07,594,7.481
Clinic: Deluxe Edition,2019,1,4,60,150,14,2981,4,1133,8170,326,74.99,647,7.588
CloudAge,2020,1,4,60,100,10,2742,2.84,1469,9362,293,58.45,593,7.192
Cockroach Poker,2004,2,6,20,20,8,15355,1.1,2130,71607,455,53.97,2950,6.805
Codenames,2015,2,8,15,15,10,99421,1.26,7596,632713,3241,19.94,12971,7.532
Codenames: Duet,2017,2,2,15,30,11,25363,1.35,3532,185716,722,32.58,3678,7.418
Codenames: Pictures,2016,2,8,15,15,10,24284,1.24,2092,108900,496,24.95,3483,7.181
Coffee Roaster,2015,1,1,10,30,12,4006,2.18,2697,21951,415,40.24,942,7.329
Coffee Rush,2023,2,4,30,30,8,3629,1.81,1589,21278,475,39.94,481,7.122
Coffee Traders,2021,2,5,120,150,12,2372,4.25,1426,5678,320,58,453,7.706
Coimbra,2018,2,4,60,90,14,12608,3.25,3588,34358,651,47.96,1906,7.606
Coloretto,2003,2,5,30,30,8,22264,1.27,2155,167624,478,15.53,5218,6.982
Colosseum,2007,3,5,60,90,10,9175,2.76,2498,18284,371,128.9,2500,7.2
Colt Express,2014,2,6,40,40,10,34215,1.83,4505,109928,1205,37.66,5115,7.096
Come Sail Away!,2023,1,4,25,25,10,1438,2.12,1327,7390,219,44.98,275,7.762
Comic Hunters,2020,1,4,60,60,14,2013,2.23,1399,6824,289,24.99,378,7.631
Concept,2013,4,12,40,40,10,21470,1.38,2795,57585,488,44.99,3336,6.749
Concordia,2013,2,5,100,100,13,43420,2.99,12179,144417,2698,52.47,6696,8.084
Concordia Venus,2018,2,6,60,120,12,7022,3.01,3031,18463,453,64.38,1170,8.264
Conspiracy: Abyss Universe,2019,2,4,30,30,8,3636,1.79,750,33148,171,57.11,630,7.196
Cosmic Encounter,1977,2,6,90,90,12,3980,2.37,497,5013,128,66.59,1697,6.919
Cosmic Encounter,2008,3,5,60,120,12,34247,2.58,9511,85567,2454,66.59,6760,7.509
Cosmic Encounter: 42nd Anniversary Edition,2018,3,5,60,120,14,1627,2.48,699,4518,185,66.59,288,8.144
Cosmic Frog,2020,2,6,45,90,13,1953,3.02,1878,4201,383,89.99,508,7.233
Cosmoctopus,2023,1,4,60,90,10,2083,2.21,1059,10331,516,29.88,447,7.197
Cosmolancer,1994,2,4,45,45,9,5145,1.83,692,12616,116,29.99,1635,6.683
Coup,2012,2,6,15,15,13,50187,1.41,4546,281810,2005,14.99,8442,6.977
Coup: Rebellion G54,2014,3,6,15,15,14,2942,1.93,588,12507,185,29.99,801,6.982
Courtisans,2024,2,5,20,30,8,3045,1.3,1845,18707,356,29.95,492,7.275
Creature Caravan,2024,1,4,60,90,8,1741,2.49,2298,5578,484,47.95,424,7.865
Creature Comforts,2022,1,5,45,45,8,6046,2.36,3255,19914,922,49,1109,7.443
Cribbage,1630,2,6,30,30,10,10730,1.9,407,136165,418,13.99,2626,7.11
Critter Kitchen,2025,1,5,60,60,12,1608,2.51,1702,5800,604,138.95,368,7.883
Crokinole,1876,2,4,30,30,8,20033,1.22,6710,240174,1055,108.99,3716,8.055
Crown of Emara,2018,1,4,45,75,12,4071,3.05,1124,11669,201,140.49,788,7.365
Crusaders: Thy Will Be Done,2018,2,4,40,60,14,5062,2.47,1355,17789,308,169.58,1037,7.472
Cry Havoc,2016,2,4,60,120,10,7045,3.29,1970,11239,431,29.99,1482,7.102
Cryptid,2018,3,5,30,50,10,16163,2.26,4906,81716,828,32.77,2219,7.437
Cthulhu Wars,2015,2,4,90,120,14,6641,3.15,3207,19030,1405,190.93,1340,7.841
Cthulhu: Death May Die Fear of the Unknown,2024,1,5,90,90,14,1122,2.66,644,4316,278,104.29,296,8.786
Cuba Libre,2013,1,4,180,180,14,3726,3.62,1870,8142,399,63.05,1027,7.66
CuBirds,2018,2,5,20,20,8,8405,1.33,1106,124448,352,19.95,1074,6.91
Cubitos,2021,2,4,30,60,10,10128,2.17,3696,40390,637,50.74,1539,7.383
Curious Cargo,2020,2,2,30,60,12,2621,3.18,1275,7884,182,27.22,555,7.01
Cyclades,2009,2,5,60,90,13,22387,2.82,6199,40406,1406,79.95,3923,7.495
Cyclades: Legendary Edition,2024,2,6,60,90,13,1744,2.89,1792,3941,792,74.99,472,8.17
Décorum,2022,2,4,30,45,13,2396,2.02,1875,16608,487,54.95,471,7.386
Darwin's Journey,2023,1,4,60,120,14,10467,3.9,4691,43869,1571,51,1555,8.116
Daybreak,2023,1,4,60,120,10,4824,2.85,3522,36405,749,54.99,955,7.684
DC Deck-Building Game: Heroes Unite,2014,2,5,45,45,15,2025,2.11,257,5966,161,53.01,362,7.4
D-Day at Omaha Beach,2009,1,1,120,480,12,2005,3.48,1964,4369,561,169.99,746,8.305
Dead Man's Draw,2014,2,4,15,15,13,6101,1.32,832,47480,278,20,1309,6.856
Dead Men Tell No Tales,2015,2,5,60,75,13,4172,2.55,2378,9011,351,50.05,987,7.098
Dead of Winter: The Long Night,2016,2,5,60,120,14,10325,3.35,2997,11844,628,49.99,1526,7.513
Deception: Murder in Hong Kong,2014,4,12,20,20,14,24275,1.58,7799,114303,1101,44.99,4144,7.431
Decrypto,2018,3,8,15,45,12,25669,1.83,7040,90272,1271,24.99,3581,7.767
Deep Regrets,2025,1,5,30,150,14,2085,2.38,3114,5955,1060,69.95,501,7.445
Descent: Journeys in the Dark,2005,2,5,120,240,13,11845,3.35,1690,22250,1132,189.99,3001,7.276
Descent: Journeys in the Dark (Second Edition),2012,1,5,120,120,14,25779,3.21,6545,74827,3432,189.99,4351,7.608
Descent: Legends of the Dark,2021,1,4,120,180,14,5468,2.7,2654,28066,1008,122.99,1125,7.916
Destinies,2021,1,3,90,150,14,9532,1.92,3320,24588,1307,32.49,1810,7.683
Detective: A Modern Crime Board Game,2018,1,5,120,180,16,11177,2.74,4075,23476,897,29.92,2027,7.624
Detective: City of Angels,2019,1,5,30,150,14,3273,2.38,3469,11658,523,134.6,846,7.88
Deus,2014,2,4,60,90,14,9541,2.83,2205,32904,370,30,1902,7.269
Diamant,2005,3,8,20,40,8,23114,1.12,4554,166123,458,37.99,6378,6.845
Dice City,2015,1,4,45,60,14,5410,2.02,1042,16050,201,48.59,1115,6.715
Dice Forge,2017,2,4,45,45,10,23616,1.97,4916,113420,1045,48.99,3332,7.218
Dice Miner,2021,1,4,20,30,10,2852,1.66,1523,20795,234,44.99,533,7.292
Dice Throne,2018,2,6,20,40,8,2930,2.14,1423,32575,468,279.99,452,7.613
Dice Throne: Season Two  Battle Chest,2018,2,6,20,40,8,5053,2.14,1547,18002,525,279.99,811,8.04
Dice Throne: Season Two  Cursed Pirate v. Artificer,2018,2,2,20,40,8,1241,2.63,204,1446,55,27.36,193,7.825
Dice Throne: Season Two  Gunslinger v. Samurai,2018,2,2,20,40,8,1781,2.19,218,3225,78,29.99,286,7.534
Dinosaur Island,2017,1,4,90,120,8,16830,3.04,4941,43010,1139,55.98,2988,7.542
Dinosaur Island: Rawr 'n Write,2021,1,4,30,45,10,4290,2.83,1426,17700,345,27.99,872,7.683
Dinosaur World,2021,2,4,60,120,10,4289,3.27,1697,9098,487,38.47,950,7.328
Diplomacy,1959,2,7,360,360,12,13699,3.33,2186,10729,849,29.99,4782,7.039
Disney Lorcana,2023,2,6,0,0,8,2990,2.12,509,97986,410,127.5,462,7.253
Disney Villainous: Evil Comes Prepared,2019,2,3,40,60,10,4783,2.32,1006,3476,260,31.99,665,7.502
Disney Villainous: Perfectly Wretched,2020,2,3,40,60,10,3671,2.3,991,2485,229,33.94,544,7.576
Disney Villainous: The Worst Takes it All,2018,2,6,45,120,10,21968,2.49,3201,67650,1232,29.99,3384,6.926
Disney Villainous: Wicked to the Core,2019,2,3,40,60,10,5078,2.37,1099,4035,274,31.99,671,7.504
Distilled,2023,1,5,30,150,14,7619,3.02,3737,38058,1008,67.92,1264,7.787
District Noir,2016,2,2,10,20,10,2444,1.31,683,16187,147,14.35,437,6.975
Dixit,2008,3,8,30,30,8,68748,1.19,7064,188134,2724,45,10408,7.189
Dixit: Journey,2012,3,6,30,30,8,4666,1.26,728,8771,108,34.99,798,7.391
Dog Park,2022,1,4,40,80,10,3685,2.17,1263,12956,802,184.99,727,6.906
Dominant Species,2010,2,6,120,240,14,22033,4.04,7359,37674,1606,76.16,4553,7.804
Dominant Species: Marine,2021,2,4,90,150,14,2716,3.69,1720,5977,327,75.39,592,7.889
Dominion,2008,2,4,30,30,13,94566,2.35,10377,863239,7470,39.56,15454,7.598
Dominion (Second Edition),2016,2,4,30,30,14,11816,2.18,2230,79627,606,39.56,1416,7.827
Dominion: Intrigue,2009,2,6,30,30,13,34342,2.41,3204,108058,1204,33.89,4615,7.689
DOOM: The Board Game,2016,2,5,120,180,14,2227,2.98,1184,3504,327,89.99,521,7.37
Doomtown: Reloaded,2014,2,4,30,30,12,2368,3.61,658,9898,529,39.99,821,7.105
Dorfromantik: The Board Game,2022,1,6,30,60,8,9222,1.62,3989,104606,1071,44.42,1364,7.616
Dragomino,2020,2,4,15,15,5,2814,1.07,784,28504,124,24.99,594,7.051
Dragon Castle,2017,1,4,30,45,8,8149,2,2016,31624,358,73.36,1333,7.108
Dream Home,2016,2,4,30,30,7,7598,1.66,1330,34296,255,32.99,1318,6.861
Drop It,2018,2,4,30,30,8,3113,1.09,513,27055,77,34.4,594,6.884
Dune: Imperium,2020,1,4,60,120,14,53995,3.07,14792,210763,6400,51.98,7075,8.418
Dune: Imperium  Uprising,2023,1,6,60,120,13,13487,3.51,6566,39729,2323,56.4,1789,8.707
Dune: War for Arrakis,2024,1,4,120,120,14,3214,3.64,3119,7317,1070,106.93,663,8.495
Dungeon Fighter,2011,1,6,45,60,14,7044,1.76,1479,17419,312,47.19,1224,6.79
Dungeon Fighter: Second Edition,2021,1,6,45,60,8,1612,1.78,685,5436,125,47.19,212,7.401
Dungeon Petz,2011,2,4,90,90,13,15382,3.63,4252,30110,716,59.99,2867,7.387
Dungeons & Dragons: Castle Ravenloft Board Game,2010,1,5,60,60,12,9449,2.5,2309,23171,1300,73,2276,6.98
Dungeons & Dragons: Temple of Elemental Evil Board Game,2015,1,5,60,60,14,2066,2.45,1268,5655,404,74.24,450,7.359
Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,1,5,60,60,12,6833,2.59,1923,12395,971,50,1514,7.093
Dungeons. Dice & Danger,2022,1,4,45,60,12,2762,1.92,1026,16292,281,26.99,471,7.026
Dutch Blitz,1960,2,4,1,15,8,4658,1.24,390,25652,184,12.97,962,6.78
DVONN,2001,2,2,30,30,9,5597,2.65,1452,22853,231,36.37,1611,7.444
Dwellings of Eldervale,2020,1,5,60,150,14,8757,3.25,7029,25430,1775,99.89,1689,8.125
Earth,2023,1,5,45,90,13,19070,2.9,6360,100395,1960,39.95,3078,7.635
Eclipse: Second Dawn for the Galaxy,2020,2,6,60,200,14,16024,3.65,8588,32784,2239,225,2233,8.409
Ecos: First Continent,2019,2,6,45,75,14,4633,2.57,1809,14308,263,85,905,7.125
Eila and Something Shiny,2021,1,1,30,45,12,1673,2.03,1775,12431,717,64.99,460,7.95
El Grande,1995,2,5,60,120,12,31599,2.94,7400,63315,1399,49.99,6350,7.765
Elder Sign,2011,1,8,90,90,13,25959,2.35,3554,80183,2007,39.97,5120,6.968
Eldritch Horror,2013,1,8,120,240,14,38144,3.32,9306,103322,4435,59.95,5952,7.744
Empires of the Void II,2018,2,5,90,180,13,2743,3.47,1723,5065,431,68.03,812,7.455
Encyclopedia,2022,1,4,60,120,14,2924,3.05,1334,8631,372,41.4,621,7.339
Endangered,2020,1,5,60,90,10,1862,2.53,1203,6501,228,38.99,484,7.42
Endless Winter: Paleoamericans,2022,1,4,60,120,12,9427,3.32,3560,25714,1524,349.99,1724,7.659
Escape from the Aliens in Outer Space,2010,2,8,20,45,12,5272,1.98,1863,13513,265,30.95,1228,6.918
Escape Room: The Game,2016,3,5,60,60,16,4362,2.26,535,11648,76,43.95,880,6.881
Escape Tales: The Awakening,2018,1,4,180,360,16,2871,2.13,811,5788,131,49,570,7.006
Escape the Dark Castle,2017,1,4,20,45,14,4099,1.21,2062,10674,679,44.95,1036,7.332
Etherfields,2020,1,4,90,180,12,4405,3.57,3101,29319,1434,199.99,1393,7.876
Euphoria: Build a Better Dystopia,2013,2,6,60,60,13,11248,3.12,2798,29435,844,69.94,2248,7.171
Evacuation,2023,1,4,60,150,12,3204,3.97,2341,9470,518,41.8,592,7.549
Evenfall,2023,1,4,60,120,14,2379,3.08,2221,7409,492,37.37,419,7.651
Everdell Farshore,2023,1,4,40,80,10,2265,2.85,2011,7022,430,75.5,452,7.862
Evergreen,2022,1,4,45,45,8,3790,2.14,2492,20519,457,47.24,636,7.451
Evolution,2014,2,6,60,60,12,17717,2.43,3485,44477,971,45.07,3253,7.016
Evolution: Climate,2016,2,6,60,60,12,8392,2.72,2860,16924,822,59.99,1753,7.456
Ex Libris,2017,1,4,45,45,10,6838,2.54,2941,19753,368,41.26,1235,7.115
EXIT: The Game  Dead Man on the Orient Express,2017,1,4,60,120,12,5371,2.67,689,5513,105,14.99,962,7.546
EXIT: The Game  The Abandoned Cabin,2016,1,6,60,120,12,11885,2.54,1312,10889,201,14.95,1877,7.413
EXIT: The Game  The Catacombs of Horror,2018,1,4,120,240,16,1999,2.67,375,3195,36,23.33,378,7.293
EXIT: The Game  The Forbidden Castle,2017,1,4,45,90,12,3483,3.22,355,4132,34,15.95,680,6.777
EXIT: The Game  The Forgotten Island,2017,1,4,45,90,12,3868,2.61,367,4772,45,14.95,678,6.873
EXIT: The Game  The Haunted Roller Coaster,2019,1,4,45,90,10,2023,1.97,283,2961,32,15.95,405,7.113
EXIT: The Game  The Mysterious Museum,2018,1,4,45,90,10,2794,2.12,346,3682,39,14.4,557,7.094
EXIT: The Game  The Pharaoh's Tomb,2016,1,6,45,90,12,6884,2.76,638,7114,89,15.95,1191,7.138
EXIT: The Game  The Polar Station,2017,1,4,45,90,12,3880,2.63,374,4533,44,23.85,686,6.833
EXIT: The Game  The Secret Lab,2016,1,6,45,150,12,7264,2.53,771,7441,101,15.95,1214,7.051
EXIT: The Game  The Sinister Mansion,2018,1,4,45,90,12,2806,2.46,383,3574,46,14.95,499,7.231
EXIT: The Game  The Sunken Treasure,2017,1,4,45,90,10,3729,1.8,365,4706,62,15.95,685,7.031
Expedition to Newdale,2019,1,4,90,90,12,1972,3.01,989,10135,166,59.99,438,7.341
Expeditions,2023,1,5,60,90,14,7487,3.05,4007,25999,1292,85,1351,7.647
Explorers of the North Sea,2016,1,4,45,60,12,3446,2.13,1428,11561,324,59.95,736,7.271
Ezra and Nehemiah,2024,1,4,90,120,13,2686,3.83,2026,8413,755,49.41,544,8.208
Factory Funner,2016,1,6,20,40,11,1935,2.38,858,13896,125,44,551,7.147
Faiyum,2020,1,5,110,140,12,2738,3.07,1365,7054,250,48,602,7.473
Fallout,2017,1,4,120,180,14,8566,3.01,2568,15413,1063,64,1713,6.915
Fantastic Factories,2019,1,5,45,60,14,7513,2.23,2499,35370,613,53.45,1563,7.422
Fantasy Realms,2017,2,6,20,20,14,17313,1.81,3333,217938,779,21.25,2326,7.508
Faraway,2023,2,6,15,30,10,13637,1.9,4016,172379,1308,24.99,1817,7.561
Feed the Kraken,2022,5,11,45,90,12,5140,2.15,4210,20748,1034,44.61,853,7.797
Feudum,2018,2,5,80,180,12,4130,4.59,1874,7937,833,84,1017,7.597
Fields of Arle,2014,1,2,60,120,13,11925,3.85,6258,37500,928,84.99,2213,8.031
Fields of Green,2016,2,4,45,45,12,3991,2.6,981,11312,219,39.99,966,7.119
Final Girl,2021,1,1,20,60,14,9298,2.74,3979,52752,1677,26.75,1806,8.242
Finca,2009,2,5,45,45,10,8097,2.07,1603,33260,309,22.46,1930,7.069
Finspan,2025,1,5,45,60,10,3785,2.34,2210,17194,735,72.73,741,7.724
Fire & Axe: A Viking Saga,2004,3,5,30,90,12,3210,2.67,944,5579,150,24.95,1193,6.992
Fire in the Lake,2014,1,4,180,180,0,3208,4.17,2268,5753,616,74.81,1008,8.064
Firefly: The Game,2013,1,4,120,240,13,12430,2.96,2513,23751,1684,87.42,2817,7.384
First in Flight,2023,1,4,45,75,12,1442,2.3,974,4222,175,53.2,315,7.472
First Rat,2022,1,5,30,75,10,4261,2.27,1595,14494,297,33.98,665,7.541
Fit to Print,2023,1,6,15,30,10,3489,2.08,2027,13452,479,35.73,672,7.327
Flamecraft,2022,1,5,60,60,10,18655,2.18,6265,56169,2854,60.01,2907,7.395
Flamme Rouge,2016,2,4,30,45,8,19204,1.7,4171,84499,1084,69.99,2935,7.48
Flatiron,2024,1,2,45,45,12,1300,2.61,990,4458,265,36.81,230,7.563
Fleet: The Dice Game,2018,1,4,30,45,8,4356,2.51,2025,24663,569,36.99,824,7.626
Flip 7,2024,3,18,20,20,8,9993,1.05,2695,120309,854,7.99,1594,7.19
Fliptown,2023,1,4,30,45,12,2193,2.41,1661,13110,344,34.99,479,7.754
Floriferous,2021,1,4,20,30,14,2609,1.69,1310,16004,269,29.99,573,7.435
Fog of Love,2017,2,2,60,120,17,8424,2.24,2675,12025,481,39.94,1895,6.616
For Sale,1997,3,6,30,30,10,33144,1.25,5821,220757,793,29.9,7212,7.263
Forbidden Desert,2013,2,5,45,45,10,32208,2.04,5646,71565,1227,59.99,5374,7.065
Forbidden Island,2010,2,4,30,30,10,53127,1.74,5114,130707,2258,20.99,9929,6.754
Forest Shuffle,2023,2,5,40,60,10,15860,2.2,5867,189860,1857,29.99,2217,7.73
