track_name,track_album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
Pretty in Pink,1981,0.386,0.916,-5.955,0.0741,0.105,0.00991,0.325,0.775,135.642,238107,57
Apache - 45 Version,1981,0.854,0.936,-7.073,0.194,0.386,0,0.177,0.247,115.318,244347,42
In The Dark,1981,0.582,0.657,-10.848,0.0289,0.109,7.65E-05,0.689,0.579,112.328,249240,0
Juke Box Hero,1981,0.357,0.653,-5.554,0.0654,0.0828,0,0.0844,0.522,176.647,259800,67
Urgent,1981,0.855,0.803,-5.849,0.0316,0.342,0.00732,0.0841,0.962,114.867,271200,58
Lonely Is The Night - Remastered,1981,0.347,0.803,-4.923,0.0416,0.209,4.36E-06,0.116,0.672,85.362,281453,61
Lonely Is The Night,1981,0.393,0.676,-11.286,0.0399,0.358,1.09E-05,0.14,0.699,85.21,282000,0
Waiting for a Girl like You,1981,0.33,0.469,-9.286,0.0335,0.31,2.30E-06,0.0402,0.433,201.327,292067,69
Who's Crying Now,1981,0.57,0.554,-9.732,0.0288,0.0548,0,0.139,0.372,122.135,300147,58
A Dream Away - Remastered,1981,0.648,0.635,-8.91,0.0319,0.00344,0.373,0.152,0.741,106.063,340200,14
Blister In The Sun,1982,0.725,0.558,-8.557,0.125,0.318,0,0.0976,0.88,96.969,144947,9
Should I Stay or Should I Go - Remastered,1982,0.742,0.833,-6.463,0.115,0.079,0,0.384,0.816,113.375,188987,79
The Look Of Love - Pt. 1,1982,0.739,0.898,-4.566,0.0895,0.112,0.00104,0.309,0.915,121.01,209160,60
Goody Two Shoes,1982,0.624,0.991,-3.467,0.135,0.0289,0.0107,0.0477,0.535,95.472,209213,51
Rock the Casbah - Remastered,1982,0.796,0.872,-6.722,0.0573,0.287,0,0.284,0.866,129.894,222427,72
Friends And Lovers (feat. Gloria Loring),1982,0.39,0.313,-9.928,0.0312,0.766,0,0.138,0.157,80.521,226560,34
Run to the Hills - 1998 Remastered Version,1982,0.221,0.956,-4.641,0.0876,0.0103,5.23E-04,0.195,0.432,173.254,233960,16
White Wedding - Part 1 - 2001- Remaster,1982,0.634,0.804,-6.74,0.0329,0.00363,0.00499,0.347,0.719,147.335,250760,12
Jack & Diane,1982,0.811,0.41,-8.214,0.0392,0.0365,6.94E-06,0.0799,0.625,103.94,254493,73
Ojos Chinos,1982,0.772,0.645,-8.32,0.0465,0.66,1.45E-05,0.142,0.968,93.876,261333,55
Let Me Go,1982,0.718,0.783,-7.189,0.0408,0.0483,0.00124,0.387,0.504,106.671,262507,44
Eye In The Sky,1982,0.823,0.417,-12.643,0.032,0.562,9.80E-04,0.0765,0.522,111.928,276280,67
The Safety Dance,1982,0.779,0.742,-8.534,0.0368,0.0463,5.56E-05,0.157,0.286,100.2,277480,54
The Number Of The Beast - 1998 Remastered Version,1982,0.42,0.93,-5.583,0.0638,0.0189,0.00675,0.264,0.344,99.641,291373,12
Keep the Fire Burning - Remastered Version,1982,0.892,0.433,-13.806,0.0699,0.0277,8.92E-04,0.0308,0.924,128.029,344547,56
Hallowed Be Thy Name - 1998 Remastered Version,1982,0.304,0.909,-5.162,0.0362,0.00185,0.122,0.362,0.348,103.99,432800,6
Blister in the Sun - 2002 Remastered Version,1983,0.701,0.261,-19.846,0.0938,0.219,0,0.0821,0.89,97.042,144333,18
If You Were Here,1983,0.615,0.51,-14.112,0.0355,0.0856,8.98E-05,0.238,0.453,114.48,175613,33
Shakin',1983,0.614,0.789,-10.241,0.0342,0.0342,0.00132,0.114,0.899,113.701,187800,54
Think I'm In Love,1983,0.486,0.83,-10.815,0.037,0.0104,4.75E-04,0.0635,0.652,151.869,188533,52
Kiss You All Over,1983,0.741,0.267,-17.204,0.0285,0.253,4.47E-04,0.0987,0.497,102.428,214400,57
Too Shy,1983,0.714,0.709,-11.067,0.0743,0.101,9.38E-05,0.0786,0.728,108.018,222320,57
Tell Me What You Want,1983,0.42,0.89,-6.923,0.116,0.00469,0.0787,0.0869,0.382,132.969,230960,42
Breaking the Chains,1983,0.526,0.9,-4.76,0.0531,0.00914,0,0.277,0.458,125.349,231693,55
She's A Beauty - Remastered 1991,1983,0.689,0.789,-8.565,0.0359,0.0684,5.16E-04,0.297,0.631,110.739,240667,50
Body to Body,1983,0.631,0.786,-12.93,0.0463,0.0135,0,0.623,0.63,143.146,246867,23
Rock the Night,1983,0.562,0.965,-2.789,0.0613,0.036,0,0.326,0.39,105.305,247493,5
Let's Dance - 2002 Remaster,1983,0.654,0.641,-9.771,0.0482,0.00535,0.00321,0.209,0.794,114.696,247600,65
Let's Get Crazy,1983,0.387,0.941,-5.118,0.0704,0.0109,2.40E-06,0.618,0.546,127.96,247600,0
ã²ã¨å¤ã®ã‚¿ãƒšã‚¹ãƒˆãƒªãƒ¼,1983,0.879,0.573,-11.974,0.129,0.154,1.53E-04,0.119,0.808,127.613,269933,30
Work for Love,1983,0.789,0.602,-12.335,0.039,0.108,0.00378,0.368,0.948,107.659,283667,36
Rebel Yell - 1999 - Remaster,1983,0.536,0.611,-11.372,0.0411,4.72E-04,0.0362,0.143,0.438,166.766,287867,6
Cum on Feel the Noize,1983,0.409,0.92,-5.439,0.12,0.00719,0.00105,0.0823,0.37,145.085,290960,69
Solidarity,1983,0.475,0.707,-11.236,0.0769,0.00914,9.61E-06,0.0511,0.445,128.03,306507,33
The Final Countdown,1983,0.536,0.914,-3.803,0.0668,0.0722,0.00104,0.0528,0.193,117.657,310427,8
Holy Diver,1983,0.473,0.783,-10.671,0.0869,0.0125,0.475,0.268,0.124,91.976,340640,65
Midnight Pretenders,1983,0.757,0.337,-14.937,0.0313,0.2,0,0.0677,0.559,92.864,345267,39
Get It Right,1983,0.758,0.829,-6.622,0.174,0.0486,1.60E-06,0.0317,0.824,122.298,377093,2
Screaming in the Night,1983,0.475,0.576,-13.059,0.0312,0.0218,0.0221,0.391,0.524,96.378,397773,52
Remember What You Like,1983,0.675,0.882,-14.319,0.0562,0.18,0.00267,0.0965,0.708,116.707,427107,19
Please. Please. Please. Let Me Get What I Want - 2011 Remaster,1984,0.241,0.468,-9.579,0.0272,0.534,0,0.161,0.451,91.581,112707,65
I'm On Fire,1984,0.615,0.267,-22.618,0.0382,0.658,0.0859,0.0679,0.842,88.409,154267,17
This Charming Man - 2011 Remaster,1984,0.611,0.846,-5.9,0.0436,0.00509,0,0.0784,0.751,103.912,162920,72
I Wanna Rock,1984,0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,69
Sea of Love - 2006 Remaster,1984,0.422,0.411,-9.004,0.0257,0.111,0.00113,0.324,0.393,82.737,183880,49
Cover Me,1984,0.517,0.776,-11.476,0.052,0.0198,6.60E-04,0.0851,0.82,120.571,208240,5
Song To The Siren (Remastered),1984,0.216,0.24,-12.598,0.0406,0.843,6.09E-06,0.135,0.0875,128.679,211093,51
(Feels Like) Heaven,1984,0.542,0.82,-10.982,0.0512,0.198,0.00172,0.0497,0.762,116.666,214047,45
Heaven Knows I'm Miserable Now - 2011 Remaster,1984,0.609,0.759,-4.862,0.0276,0.028,0,0.183,0.774,114.045,215760,58
1-2-3 - Single Version,1984,0.756,0.855,-6.7,0.0687,0.102,2.48E-05,0.0185,0.699,126.423,215880,37
Your Love Is King,1984,0.742,0.422,-6.797,0.0309,0.559,4.14E-05,0.0402,0.592,134.624,219427,61
We're Not Gonna Take It,1984,0.502,0.924,-6.299,0.0503,0.0127,0,0.162,0.922,149.186,219667,73
2000 Miles - 2007 Remaster,1984,0.22,0.708,-9.051,0.035,0.00292,0.0267,0.102,0.453,66.214,220427,70
We Belong,1984,0.706,0.322,-14.108,0.0467,0.528,2.37E-06,0.576,0.305,135.154,221133,66
I Wanna Be Somebody,1984,0.296,0.83,-7.051,0.0505,8.10E-04,0,0.263,0.478,164.124,223533,3
What Difference Does It Make? - 2011 Remaster,1984,0.383,0.888,-6.503,0.037,4.92E-04,1.74E-04,0.0479,0.393,163.23,229867,52
Relax,1984,0.677,0.83,-8.147,0.0389,0.295,1.04E-05,0.0295,0.705,114.921,236787,11
Everlasting Love,1984,0.708,0.817,-6.689,0.0383,0.156,0,0.111,0.853,128.871,240720,36
Rock You Like a Hurricane - 2015 - Remaster,1984,0.402,0.873,-3.209,0.0586,0.00484,7.30E-05,0.157,0.684,125.443,253667,9
Middle of the Road - 2007 Remaster,1984,0.488,0.959,-5.575,0.0758,0.00333,0.0767,0.025,0.67,166.799,254293,49
Valotte,1984,0.563,0.419,-13.735,0.0261,0.168,0.0671,0.0986,0.22,72.233,254507,22
Glory Days,1984,0.563,0.846,-12.609,0.0303,0.179,0,0.0508,0.974,117.444,259267,4
Big in Japan - Remaster,1984,0.757,0.596,-8.039,0.0339,0.0409,0.044,0.171,0.195,97.769,284625,61
Do What You Do,1984,0.712,0.366,-11.921,0.0302,0.778,2.08E-06,0.153,0.537,112.5,287000,0
Smalltown Boy,1984,0.679,0.564,-11.247,0.0267,0.529,0.0709,0.275,0.926,134.586,303307,12
It Hurts (There Must Be a Taste of Murder in It),1984,0.633,0.546,-13.437,0.0314,0.492,0.0168,0.191,0.566,129.663,358520,21
Reel Around the Fountain - 2011 Remaster,1984,0.67,0.571,-9.976,0.0255,0.00507,7.23E-05,0.124,0.899,109.905,359227,51
How Soon Is Now? - 2011 Remaster,1984,0.398,0.93,-6.76,0.0615,8.54E-04,0.121,0.0874,0.725,190.818,408173,69
You're in Love,1985,0.567,0.867,-11.541,0.0484,0.00384,0.088,0.112,0.535,146.008,194107,54
Rock Me Amadeus,1985,0.62,0.778,-11.061,0.121,0.409,0.00258,0.0903,0.912,176.667,203173,1
Your Love,1985,0.555,0.757,-7.868,0.0601,0.103,1.16E-06,0.0631,0.582,129.607,221840,70
Burning Flame,1985,0.751,0.762,-6.765,0.029,0.492,0,0.327,0.778,109.672,228000,22
Rhythm Of The Night,1985,0.707,0.759,-12.328,0.046,0.0769,2.84E-05,0.0775,0.955,115.142,229107,64
"Burning Heart - From ""Rocky IV"" Soundtrack",1985,0.651,0.665,-7.43,0.0269,0.221,7.91E-06,0.0403,0.647,97.996,230720,64
Swingin Party - 2008 Remaster,1985,0.647,0.69,-8.657,0.0454,0.0224,0,0.147,0.682,117.514,233573,57
Just the Two of Us (feat. Bill Withers),1985,0.803,0.488,-9.303,0.0803,0.576,0.0609,0.0763,0.624,95.771,237106,66
Well I Wonder - 2011 Remaster,1985,0.643,0.59,-10.843,0.0284,0.0806,0.00578,0.174,0.818,126.651,239427,54
Life in a Northern Town,1985,0.563,0.476,-13.342,0.0329,0.265,0,0.494,0.432,121.67,259293,53
She Sells Sanctuary (2009 Re-master),1985,0.543,0.834,-6.812,0.029,5.50E-06,0.889,0.0777,0.37,139.625,262493,59
Don't You (Forget About Me),1985,0.66,0.816,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346,263040,45
Perfect Way,1985,0.66,0.836,-12.324,0.0468,0.0438,0.0991,0.428,0.898,104.588,273240,0
I See Your Smile,1985,0.403,0.457,-8.984,0.0272,0.237,0,0.185,0.231,79.187,274133,34
Gimme Gimme Gimme (with Patti Austin),1985,0.639,0.795,-5.927,0.0655,0.034,0,0.179,0.939,171.378,281333,46
æ¸šãƒ»ãƒ¢ãƒ‡ãƒ©ãƒ¼ãƒˆ,1985,0.743,0.643,-8.167,0.0317,0.498,0.308,0.0666,0.914,98.287,281453,24
"Living in America - From ""Rocky IV"" Soundtrack",1985,0.754,0.854,-7.114,0.0363,0.00148,0.00692,0.0675,0.761,113.908,282840,55
All Cried Out (with Full Force),1985,0.46,0.498,-8.835,0.0277,0.127,0.0295,0.186,0.403,144.149,284333,36
The Headmaster Ritual - 2011 Remaster,1985,0.388,0.955,-6.184,0.0411,0.00201,0.0366,0.146,0.693,150.352,295440,53
We Built This City,1985,0.661,0.908,-4.897,0.039,0.052,0,0.0708,0.656,144.091,296080,27
Mony Mony - Downtown Mix / 24-Bit Digitally Remastered 2001,1985,0.742,0.743,-6.293,0.0508,0.00935,0,0.22,0.485,135.012,301800,52
Head to Toe,1985,0.847,0.669,-7.318,0.113,0.0441,0.00774,0.19,0.84,113.736,302000,44
Some Like It Hot - 2005 Remaster,1985,0.732,0.893,-8.355,0.0488,0.0816,2.05E-05,0.0783,0.654,125.487,305467,42
Wild Child,1985,0.372,0.857,-7.816,0.0461,0.0608,9.01E-05,0.187,0.389,146.08,312400,59
Alive And Kicking,1985,0.599,0.86,-6.614,0.032,0.0864,1.41E-05,0.149,0.554,103.238,326000,53
Election Day,1985,0.716,0.552,-14.746,0.0353,0.0113,1.42E-05,0.343,0.483,110.791,328093,24
I Wonder If I Take You Home,1985,0.844,0.647,-9.248,0.0877,0.0405,0.132,0.106,0.58,115.164,404213,51
Barbarism Begins at Home - 2011 Remaster,1985,0.533,0.793,-5.953,0.0374,0.0277,0.0429,0.327,0.91,127.397,413427,52
Scenes from an Italian Restaurant,1985,0.437,0.899,-6.392,0.093,0.381,7.96E-04,0.131,0.432,97.94,454853,0
Cemetry Gates - 2011 Remaster,1986,0.55,0.796,-7.007,0.0306,0.151,0,0.222,0.622,105.354,161040,52
Bigmouth Strikes Again - 2011 Remaster,1986,0.401,0.901,-5.011,0.041,0.0704,0,0.538,0.839,134.799,193320,67
The Boy with the Thorn in His Side - 2011 Remaster,1986,0.514,0.87,-6.516,0.0419,0.208,4.10E-05,0.524,0.847,118.962,196627,53
Princes Of The Universe,1986,0.396,0.623,-14.327,0.0633,0.0273,0,0.313,0.34,81.326,213200,0
Never Had No One Ever - 2011 Remaster,1986,0.27,0.535,-8.673,0.0329,0.0679,0.00225,0.143,0.336,194.625,218373,48
Shake Me,1986,0.537,0.9,-11.88,0.0301,0.00575,1.56E-04,0.2,0.549,132.742,222467,54
The Next Time I Fall (with Amy Grant),1986,0.656,0.347,-13.398,0.028,0.488,0.00221,0.0645,0.368,118.288,225973,57
Venus,1986,0.722,0.961,-4.812,0.0514,0.0883,0.61,0.278,0.91,126.113,229165,6
Don't Dream It's Over,1986,0.439,0.422,-17.227,0.0409,0.0148,4.84E-05,0.0697,0.551,81.833,236933,23
There Is a Light That Never Goes Out - 2011 Remaster,1986,0.523,0.769,-5.855,0.0269,0.04,0,0.136,0.876,136.162,244587,73
For Tonight,1986,0.808,0.751,-12.246,0.059,0.614,0.0158,0.0614,0.911,115.754,250293,30
Beds Are Burning,1986,0.758,0.41,-11.8,0.0404,0.0129,1.02E-04,0.0875,0.34,119.197,254627,41
Glory of Love,1986,0.518,0.585,-8.485,0.0279,0.0778,2.43E-06,0.31,0.312,144.998,258120,71
Private Passion,1986,0.674,0.922,-6.293,0.0628,0.0281,0.00207,0.0342,0.748,115.915,258773,11
Human,1986,0.625,0.572,-9.095,0.0251,0.049,0.00151,0.0939,0.36,101.355,265320,42
Dancing On The Ceiling,1986,0.698,0.774,-8.642,0.048,0.12,2.26E-06,0.394,0.731,133.197,270720,64
Facts of Love,1986,0.752,0.751,-6.281,0.043,0.0642,0.00142,0.278,0.963,106.8,271240,33
Carrie,1986,0.457,0.487,-7.112,0.0266,0.113,2.37E-06,0.358,0.139,136.596,272133,70
In The Army Now,1986,0.7,0.582,-12.196,0.0239,0.0967,1.40E-05,0.105,0.915,104.66,281053,0
Dreamtime,1986,0.617,0.773,-10.03,0.0323,0.0333,1.46E-06,0.0994,0.794,121.675,285093,34
Nobody's Fool,1986,0.367,0.445,-13.615,0.0286,0.0478,0.00284,0.199,0.149,67.197,286627,6
Come Share My Love,1986,0.598,0.531,-13.194,0.0378,0.201,0,0.0264,0.438,81.482,290533,40
Away,1986,0.6,0.752,-8.984,0.0358,0.165,7.12E-06,0.157,0.541,121.079,295360,0
Go See the Doctor,1986,0.777,0.455,-13.601,0.175,0.00492,0.00157,0.0338,0.73,89.289,332307,0
Love Will Conquer All,1986,0.79,0.443,-10.078,0.026,0.169,1.68E-06,0.272,0.646,98.043,340987,43
Sunday Morning,1986,0.602,0.89,-8.047,0.0429,0.234,0.00384,0.0453,0.479,148.819,393667,1
Reincarnation,1986,0.675,0.928,-2.895,0.0374,0.0642,0.0012,0.0559,0.72,134.951,422027,26
Girlfriend in a Coma - 2011 Remaster,1987,0.68,0.626,-8.519,0.0255,0.126,1.30E-06,0.0995,0.96,104.333,122760,56
Tush,1987,0.546,0.864,-7.632,0.0393,0.0908,0.00814,0.277,0.863,145.652,137240,19
Need You Tonight,1987,0.801,0.723,-4.985,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518,64
Point of No Return,1987,0.6,0.814,-9.411,0.0415,0.00342,0.00209,0.0605,0.873,120.037,207867,48
You Just Haven't Earned It Yet. Baby,1987,0.539,0.93,-5.106,0.0408,0.0163,0.0141,0.0388,0.699,143.523,211093,44
Exposed To Love,1987,0.591,0.861,-12.053,0.0435,0.0117,0.344,0.153,0.798,123.207,215107,30
Half a Person - 2011 Remaster,1987,0.608,0.73,-8.698,0.0291,0.0266,0,0.0565,0.614,120.601,218440,52
Paid In Full,1987,0.878,0.851,-8.971,0.232,0.00228,0.00125,0.0509,0.404,99.014,228667,51
I Ain't No Joke,1987,0.854,0.706,-9.5,0.335,0.162,7.22E-06,0.0994,0.747,104.212,232760,48
Unloveable - 2011 Remaster,1987,0.626,0.518,-7.634,0.0225,0.057,0.0378,0.0794,0.555,97.212,236667,48
Rhythm Is Gonna Get You,1987,0.777,0.745,-12.793,0.0396,0.236,0.0412,0.232,0.861,124.961,237267,1
Lessons In Love,1987,0.709,0.839,-8.403,0.0367,0.159,0.00209,0.301,0.864,113.186,246013,61
Come Go with Me,1987,0.524,0.735,-9.708,0.0387,0.0097,0.0139,0.0615,0.866,119.907,257827,43
Pour Some Sugar On Me (2012),1987,0.497,0.849,-5.352,0.0612,0.00985,0,0.106,0.72,169.937,261532,1
Do You Really Want Me Back?,1987,0.697,0.856,-6.026,0.0296,0.0637,0.00422,0.0945,0.808,125.111,269280,0
Nothing's Gonna Stop Us Now,1987,0.643,0.801,-4.921,0.0228,0.0298,0,0.0719,0.534,95.988,270333,24
Motley Crue/Girls. Girls. Girls,1987,0.601,0.927,-4.892,0.0704,0.0346,5.52E-05,0.376,0.542,140.1,270533,1
Girls. Girls. Girls,1987,0.601,0.928,-4.903,0.0703,0.0319,1.16E-04,0.401,0.564,140.11,270533,0
Here I Go Again 87 - 2008 Remaster,1987,0.361,0.88,-4.959,0.0466,0.19,3.48E-05,0.294,0.224,91.06,273147,43
Here I Go Again - 2018 Remaster,1987,0.292,0.823,-6.763,0.0407,0.0117,7.79E-05,0.155,0.244,89.939,275395,70
Here I Go Again 87 - 2017 Remastered Version,1987,0.384,0.846,-5.591,0.0365,0.151,7.73E-05,0.0913,0.272,90.172,275693,19
Wild Wild West,1987,0.688,0.705,-11.089,0.061,0.0107,2.75E-06,0.111,0.941,185.776,280840,0
Is This Love - 2017 Remastered Version,1987,0.333,0.79,-6.802,0.0386,0.109,0,0.115,0.534,180.356,284600,5
Never Can Say Goodbye,1987,0.583,0.869,-6.931,0.0287,0.0434,0.0273,0.286,0.836,132.172,285986,3
Lucretia My Reflection - Vinyl Version,1987,0.601,0.768,-8.718,0.0329,0.0785,0.712,0.0771,0.887,130.342,295250,50
Rock Steady,1987,0.927,0.832,-7.665,0.0604,0.0139,2.60E-06,0.0394,0.958,115.384,307773,53
Right and a Wrong Way,1987,0.646,0.409,-14.908,0.051,0.0122,0,0.179,0.63,119.723,317133,49
One Way Love,1987,0.715,0.734,-12.934,0.0467,0.00276,0.00306,0.295,0.734,117.204,317267,0
Over The Hills And Far Away,1987,0.204,0.844,-12.409,0.109,4.24E-04,0.165,0.123,0.305,183.719,320933,54
How Ya Like Me Now - Longer Version,1987,0.875,0.737,-14.099,0.0876,0.00352,5.27E-04,0.0706,0.543,104.204,337333,0
I Want Her,1987,0.74,0.467,-12.066,0.0425,0.0145,1.55E-06,0.173,0.89,107.848,360107,36
Don't Stop Your Love,1987,0.764,0.522,-13.489,0.138,0.0356,2.52E-06,0.0877,0.629,102.032,374107,32
Still of the Night - 2017 Remastered Version,1987,0.403,0.88,-5.872,0.0532,0.00582,5.08E-04,0.319,0.235,100.457,399693,6
Whirlpool Heart,1988,0.524,0.728,-9.965,0.0269,0.00431,0.124,0.369,0.726,137.479,181920,27
(Keep Feeling) Fascination,1988,0.711,0.624,-8.011,0.08,0.421,2.27E-06,0.271,0.703,118.137,225173,46
Human - Edit,1988,0.636,0.559,-10.313,0.0249,0.0562,7.54E-04,0.0562,0.512,101.4,228867,56
Bringing Home the Ashes,1988,0.575,0.748,-10.632,0.0292,0.00114,0.0764,0.182,0.835,129.42,229973,30
Supersonic,1988,0.825,0.391,-15.962,0.202,3.74E-04,0.00188,0.0608,0.396,132.104,232307,47
Suedehead - 2011 Remaster,1988,0.529,0.989,-4.5,0.042,0.00126,0.00148,0.0567,0.669,142.29,235520,63
Gypsy Road,1988,0.523,0.88,-9.019,0.0402,0.00961,8.28E-04,0.329,0.553,132.426,235733,4
Where Is My Mind?,1988,0.518,0.436,-14.134,0.0349,0.0157,6.21E-04,0.079,0.27,80.88,236973,74
Hype,1988,0.902,0.352,-15.897,0.0912,0.00185,0,0.0867,0.695,134.417,239400,23
Rollin' With Kid 'N Play,1988,0.761,0.727,-12.655,0.133,0.0362,0.00498,0.0461,0.739,103.013,243800,43
I Don't Believe In Love - Remastered 2003,1988,0.562,0.991,-2.654,0.0745,0.0373,1.14E-05,0.425,0.266,118.004,263560,51
Turn Back The Clock,1988,0.688,0.715,-8.095,0.0265,0.296,1.22E-04,0.067,0.933,103.976,270133,54
Gittin' Funky,1988,0.846,0.577,-16.938,0.155,0.0193,3.08E-05,0.215,0.432,104.961,284040,32
Do This My Way,1988,0.893,0.571,-17.621,0.142,0.012,0,0.201,0.684,114.874,287973,30
When We Kiss,1988,0.703,0.215,-18.787,0.0554,0.315,0.44,0.344,0.546,96.951,292840,15
Shower Me With Your Love,1988,0.632,0.356,-10.811,0.0309,0.523,5.76E-06,0.0961,0.197,131.28,294960,50
That Smiling Face,1988,0.623,0.683,-12.658,0.0329,0.0196,0.194,0.274,0.7,104.202,301793,27
People Have the Power,1988,0.622,0.737,-9.296,0.0289,0.0349,4.60E-06,0.318,0.742,130.255,310400,50
Microphone Fiend,1988,0.586,0.795,-8.71,0.258,0.354,0,0.187,0.694,94.101,314600,47
Voice of Chunk,1988,0.431,0.597,-12.934,0.194,0.353,0.42,0.153,0.617,136.241,325733,35
I'm Your Pusher / Pusherman,1988,0.943,0.494,-12.717,0.163,0.0167,1.28E-06,0.266,0.635,108.103,334827,37
Don't Know What You Got (Till It's Gone),1988,0.384,0.535,-9.939,0.0289,0.238,4.50E-04,0.0533,0.232,132.445,354640,61
Something Good,1989,0.633,0.936,-4.233,0.032,0.00481,0.0247,0.0745,0.887,116.055,205520,23
Crimson and Clover,1989,0.456,0.609,-11.767,0.068,0.275,0.0198,0.108,0.682,84.441,209800,56
See A Little Light,1989,0.552,0.774,-9.106,0.0292,0.0168,0,0.0701,0.783,110.906,212067,36
Personal Jesus - Original Seven Inch Version,1989,0.637,0.682,-11.625,0.0366,0.0112,0.0234,0.0473,0.714,129.983,224907,61
(You're My One And Only) True Love,1989,0.659,0.65,-12.115,0.05,0.0139,0.0028,0.0625,0.672,104.407,230267,30
Girl's Got It Goin' On,1989,0.723,0.91,-10.79,0.103,0.16,9.93E-05,0.347,0.581,109.871,230693,4
I Ain't Wit It,1989,0.829,0.545,-7.557,0.0592,0.00247,0.00308,0.0189,0.828,107.969,237893,4
Hotel Happiness,1989,0.747,0.84,-10.846,0.0339,0.139,9.85E-04,0.0508,0.947,102.916,240760,7
Oye Mi Canto - Single Version,1989,0.715,0.84,-6.617,0.0527,0.151,0.00239,0.096,0.924,119.588,247707,38
Don't Wanna Fall in Love,1989,0.708,0.681,-11.226,0.0422,0.0152,3.43E-05,0.0373,0.814,111.574,247840,49
The Formula,1989,0.83,0.626,-7.601,0.113,0.00725,0,0.224,0.475,92.25,252627,46
Just What I Like,1989,0.722,0.836,-11.293,0.083,0.151,1.78E-04,0.393,0.807,107.189,263400,7
It's Funky Enough - Remastered Single,1989,0.83,0.797,-6.627,0.152,0.00257,0,0.272,0.886,90.229,269973,51
Kickstart My Heart,1989,0.361,0.97,-4.817,0.284,0.00169,0.00163,0.357,0.254,179.017,282920,76
Dr. Feelgood,1989,0.53,0.952,-5.105,0.0577,8.37E-04,0.0119,0.262,0.433,110.98,290187,14
Golden Dreams,1989,0.581,0.822,-4.878,0.0257,0.00747,0.0657,0.217,0.662,139.994,295000,0
I Get the Job Done,1989,0.842,0.686,-11.672,0.138,0.0337,8.17E-06,0.0526,0.785,113.12,330533,33
Turned Away,1989,0.434,0.833,-9.018,0.048,0.0865,0.0486,0.117,0.786,189.645,343933,33
Something in My Heart,1989,0.698,0.434,-12.892,0.0272,0.166,5.66E-04,0.0658,0.386,130.295,353000,50
Russian Radio,1989,0.705,0.771,-11.908,0.0436,0.00938,0.788,0.102,0.681,121.994,372427,35
(Don't U Know) I Love U,1989,0.798,0.728,-9.609,0.0378,0.0225,0.0513,0.102,0.848,104.975,412240,16
What I Like About You,1990,0.542,0.915,-9.637,0.0549,0.319,5.34E-05,0.171,0.92,159.81,175400,66
Hard To Handle,1990,0.605,0.796,-3.618,0.0421,0.00286,5.41E-04,0.279,0.961,103.671,187720,2
Eternamente Bella,1990,0.748,0.832,-7.526,0.0272,0.167,6.70E-05,0.26,0.969,114.119,206947,48
Summertime Girls - Studio Version,1990,0.431,0.698,-11.626,0.0336,0.00185,2.64E-06,0.232,0.774,128.932,209067,48
Unskinny Bop,1990,0.574,0.93,-2.949,0.0413,0.0657,7.78E-06,0.108,0.69,92.303,228067,61
She's Mine (feat. Pete Rock. C.L. Smooth & D.J. Eddie F),1990,0.711,0.895,-6.771,0.0949,0.0732,0,0.33,0.726,113.796,230192,22
Knockin' Boots,1990,0.94,0.662,-8.786,0.292,0.0954,0,0.376,0.657,101.403,233027,43
I Promised Myself,1990,0.58,0.799,-12.283,0.0306,0.00428,0.00161,0.0326,0.693,128.179,240773,61
Tiempo De Vals,1990,0.249,0.238,-15.612,0.0325,0.804,0,0.135,0.317,168.233,247933,58
Enjoy the Silence - Single Mix,1990,0.641,0.812,-7.945,0.0293,0.155,4.43E-05,0.078,0.822,112.777,257333,65
Completamente Enamorados,1990,0.565,0.505,-13.336,0.0291,0.425,0,0.0772,0.4,137.112,258627,54
Bad Habit,1990,0.72,0.566,-15.648,0.0959,0.00369,1.23E-05,0.34,0.702,109.174,272827,5
Talent (You Got It All),1990,0.457,0.649,-15.602,0.0628,5.05E-04,0.00309,0.145,0.521,208.057,279373,3
Geesed,1990,0.736,0.497,-17.881,0.0782,0.0066,9.79E-04,0.242,0.71,107.145,281627,2
Quality Time,1990,0.644,0.674,-6.998,0.0345,0.0761,0,0.0659,0.656,155.907,283067,32
Body Reader,1990,0.707,0.566,-14.859,0.0455,0.0352,6.55E-06,0.0968,0.673,107.11,284533,1
High Enough,1990,0.273,0.537,-9.612,0.0306,0.0241,0,0.0922,0.232,81.814,287320,59
The Booty Dub,1990,0.813,0.531,-14.546,0.0815,0.0156,0.526,0.0749,0.604,127.865,291800,26
QuÃ© Hay de Malo,1990,0.733,0.603,-8.673,0.044,0.592,0,0.0556,0.817,91.941,298347,65
I Can't Wait Another Minute,1990,0.625,0.644,-8.801,0.0287,0.357,0,0.102,0.638,147.435,301640,43
Unconditional Love,1990,0.65,0.843,-4.395,0.0402,0.173,4.37E-05,0.254,0.707,147.847,302507,26
Feel The Bass Again,1990,0.662,0.288,-17.346,0.0456,0.01,0.931,0.179,0.544,150.279,313040,26
Make You Sweat,1990,0.649,0.805,-10.53,0.0455,0.0465,3.51E-06,0.123,0.64,104.968,320507,35
