track_name,track_album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
Hello It's Me,1972,0.578,0.848,-6.842,0.0261,0.0563,0.00426,0.0963,0.779,87.246,264093,54
Rocky Mountain High,1972,0.455,0.437,-11.411,0.0278,0.314,0,0.501,0.724,81.396,283640,15
Dominance and Submission,1972,0.394,0.533,-12.6,0.0687,0.0893,0.0367,0.234,0.563,158.468,322000,0
Suavecito,1972,0.562,0.561,-10.954,0.0343,0.412,1.98E-05,0.0917,0.666,113.911,395200,46
Hot Fun in the Summertime,1973,0.609,0.647,-13.003,0.063,0.365,9.18E-06,0.083,0.692,145.249,156827,0
Hooked on a Feeling,1973,0.547,0.82,-6.728,0.0805,0.261,0,0.3,0.933,118.208,172867,75
Chevy Van,1973,0.449,0.547,-12.259,0.0351,0.457,0,0.0737,0.74,152.211,179000,45
We Just Disagree,1973,0.624,0.388,-8.465,0.0242,0.336,0,0.0918,0.445,85.925,180133,50
Rock the Nation,1973,0.456,0.912,-9.728,0.0398,0.0473,1.41E-04,0.171,0.602,137.581,180667,40
China Grove,1973,0.623,0.91,-8.448,0.0384,0.319,4.48E-04,0.081,0.745,145.624,195307,67
We're An American Band - Remastered 2002,1973,0.637,0.89,-4.872,0.0677,0.119,6.72E-05,0.103,0.923,127.689,207093,59
Gimme Three Steps,1973,0.644,0.823,-8.092,0.0578,0.296,0.00115,0.126,0.917,133.39,270293,14
Rock Candy,1973,0.411,0.633,-9.343,0.0299,0.00399,0.00189,0.151,0.754,78.727,303800,48
The Rocker,1973,0.259,0.913,-8.477,0.134,0.0666,8.16E-05,0.803,0.513,144.815,306225,0
I Believe In You (You Believe In Me),1973,0.645,0.453,-10.087,0.0453,0.758,0.00183,0.0798,0.521,96.449,306933,38
Simple Man,1973,0.461,0.734,-9.379,0.0374,7.90E-04,0.00554,0.22,0.423,120.55,357933,9
Can't You See,1973,0.407,0.706,-5.526,0.0348,0.254,0.00693,0.125,0.54,164.022,361227,14
No-No Song,1974,0.902,0.534,-13.736,0.106,0.133,0,0.084,0.917,118.766,154693,44
No More Mr. Nice Guy,1974,0.498,0.515,-11.985,0.0395,0.0936,0,0.1,0.616,127.761,187893,37
Tin Man,1974,0.646,0.531,-10.785,0.0671,0.528,0.0133,0.0836,0.655,172.02,209867,57
Cats in the Cradle,1974,0.463,0.484,-13.259,0.0395,0.456,0,0.125,0.513,77.521,212405,55
Billion Dollar Babies,1974,0.468,0.663,-11.714,0.0634,0.00739,0.0352,0.124,0.714,90.714,223600,22
You're No Good,1974,0.669,0.52,-10.136,0.0345,0.245,0.00535,0.126,0.634,104.812,224027,59
You Ain't Seen Nothing Yet,1974,0.475,0.439,-15.039,0.0427,1.46E-04,2.77E-04,0.223,0.76,118.392,234867,68
Woman To Woman,1974,0.595,0.309,-10.422,0.0593,0.661,1.49E-04,0.458,0.469,124.918,238000,48
Pick Up the Pieces,1974,0.768,0.853,-5.915,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908,53
Ballroom Blitz,1974,0.644,0.799,-10.856,0.0598,0.0821,0.00154,0.055,0.889,108.382,246573,60
Can't Get Enough (Remastered Album Version),1974,0.662,0.763,-7.475,0.0397,0.132,0.0013,0.067,0.699,126.333,254400,1
Can't Get Enough - 2015 Remaster,1974,0.638,0.686,-9.876,0.0366,0.314,0.23,0.0678,0.766,126.045,256360,56
The Best of My Love - 2013 Remaster,1974,0.559,0.393,-11.095,0.0237,0.717,0,0.0532,0.669,90.105,274891,58
Just Kissed My Baby,1974,0.719,0.615,-13.674,0.122,0.0345,0.0492,0.0573,0.961,170.888,283573,56
Bad Company (Remastered Album Version),1974,0.565,0.494,-10.008,0.0306,0.502,0.187,0.0731,0.385,114.113,287040,4
Bad Company - 2015 Remaster,1974,0.545,0.467,-10.862,0.0305,0.491,0.175,0.0805,0.444,113.713,288053,63
Ready for Love - 2015 Remaster,1974,0.566,0.521,-11.824,0.0321,0.514,2.88E-04,0.116,0.468,129.167,299827,48
Feelin' Alright - Live at Universal Amphitheater. Los Angeles. CA - 1975,1974,0.586,0.886,-8.779,0.0496,0.035,0.00178,0.103,0.834,106.536,381760,25
Heavy Heavy Heavy,1974,0.662,0.868,-8.375,0.0496,0.129,0.409,0.126,0.866,136.071,393280,29
Fountain of Sorrow - 2014 Remaster,1974,0.638,0.5,-10.116,0.034,0.641,7.44E-05,0.0613,0.406,126.4,412082,45
On the Road Again - Live,1975,0.714,0.715,-9.965,0.0387,0.345,0.00567,0.927,0.841,111.036,152267,51
Sara Smile,1975,0.592,0.397,-10.81,0.0676,0.354,8.94E-04,0.119,0.205,150.038,185293,65
Stormtroopin',1975,0.49,0.829,-8.296,0.0428,0.0142,0.198,0.0619,0.824,155.707,189627,0
Department of Youth,1975,0.533,0.906,-7.547,0.0381,0.2,0.0015,0.493,0.638,121.669,196800,32
